source_record_id,name,source,classification_confidence,classification_signals,classification_reason
apify_google_maps_ChIJGyQlqd8rRy4RsgVgcmCEzEo,Bukit Gunung Gundul,apify_google_maps,0.8,name_accepted_keyword,Nama mengandung keyword wisata 'bukit'
apify_google_maps_ChIJFyj2lVclQS4RtS79ahBfMWE,Desa Wisata Pulau Pahawang,apify_google_maps,0.8,name_accepted_keyword,Nama mengandung keyword wisata 'wisata'
apify_google_maps_ChIJKQjRtxs_QS4R-ytoQxEyHN0,Pulau Sijebi,apify_google_maps,0.8,name_accepted_keyword,Nama mengandung keyword wisata 'pulau'
apify_google_maps_ChIJaQItJwA5QS4Ry-NA0v2j_dg,Pulau Legundi,apify_google_maps,0.8,name_accepted_keyword,Nama mengandung keyword wisata 'pulau'
apify_google_maps_ChIJy06hR_sxQS4RUcwPhaidAHg,Pantai Pasir Putih,apify_google_maps,0.8,name_accepted_keyword,Nama mengandung keyword wisata 'pantai'
apify_google_maps_ChIJoWyPwuIwQS4RtOEo2w7X-R8,Pulau Lok,apify_google_maps,0.8,name_accepted_keyword,Nama mengandung keyword wisata 'pulau'
apify_google_maps_ChIJrbOVa-cwQS4RuaOjKNvlazU,Pulau Balak,apify_google_maps,0.8,name_accepted_keyword,Nama mengandung keyword wisata 'pulau'
apify_google_maps_ChIJ91YidX0wQS4RnGwDwHhEJxw,Pulau Lelangga,apify_google_maps,0.8,name_accepted_keyword,Nama mengandung keyword wisata 'pulau'
apify_google_maps_ChIJFWpc-LfRQC4RgpeZ8auaDa4,Tugu Desa Agro Wisata,apify_google_maps,0.8,name_accepted_keyword,Nama mengandung keyword wisata 'wisata'
apify_google_maps_ChIJa0a70-YvQS4R_BvtnqHCR5c,Pantai Centigi,apify_google_maps,0.8,name_accepted_keyword,Nama mengandung keyword wisata 'pantai'
apify_google_maps_ChIJGTpSlfUvQS4RECBWmYDCRPY,Pulau Puhawang,apify_google_maps,0.8,name_accepted_keyword,Nama mengandung keyword wisata 'pulau'
apify_google_maps_ChIJH6pqXfQxQS4RrijiG7hwUhA,Mitra Wisata,apify_google_maps,0.8,name_accepted_keyword,Nama mengandung keyword wisata 'wisata'
apify_google_maps_ChIJB6fij4YtQS4RPoP_MvdoPIQ,Air terjun Kedung gajah,apify_google_maps,0.8,name_accepted_keyword,Nama mengandung keyword wisata 'air terjun'
apify_google_maps_ChIJJVOnfEAlQS4RLgNg8tORzvU,Pulau Pahawangkecil,apify_google_maps,0.8,name_accepted_keyword,Nama mengandung keyword wisata 'pulau'
apify_google_maps_ChIJvd1vPb45QS4RFp3qqk5KWVw,Pulau Seserot,apify_google_maps,0.8,name_accepted_keyword,Nama mengandung keyword wisata 'pulau'
apify_google_maps_ChIJm1iWh_QlQS4R3XEPYlULOuw,Pulau Kelagian,apify_google_maps,0.8,name_accepted_keyword,Nama mengandung keyword wisata 'pulau'
apify_google_maps_ChIJV9J7kovYQC4REcCAPwx6t2A,Pulau Tangkil,apify_google_maps,0.8,name_accepted_keyword,Nama mengandung keyword wisata 'pulau'
apify_google_maps_ChIJ-_SEmWsmQS4RoHUzf21ui3Y,Pulau Maitem,apify_google_maps,0.8,name_accepted_keyword,Nama mengandung keyword wisata 'pulau'
apify_google_maps_ChIJReiLWAInQS4RZgpskFd-q6k,Pulau Tegal,apify_google_maps,0.8,name_accepted_keyword,Nama mengandung keyword wisata 'pulau'
apify_google_maps_ChIJJZqBGyMmQS4R2nELHbiOPoY,Mr Sunday - Trip Pulau Pahawang,apify_google_maps,0.8,name_accepted_keyword,Nama mengandung keyword wisata 'pulau'
apify_google_maps_ChIJsc7KGgDVQC4Rai-FRCrMY30,Area Camping Gunung Pesawaran,apify_google_maps,0.8,name_accepted_keyword,Nama mengandung keyword wisata 'gunung'
apify_google_maps_ChIJPaB0nDM_QS4RVLwk4k979Ig,Pulau Legunditua,apify_google_maps,0.8,name_accepted_keyword,Nama mengandung keyword wisata 'pulau'
apify_google_maps_ChIJYSxjIg4pQS4RojoLN6zlphI,Pantai Benteng Samudera,apify_google_maps,0.8,name_accepted_keyword,Nama mengandung keyword wisata 'pantai'
apify_google_maps_ChIJ48N-plI5QS4RvNBO3d7hYJY,Pulau Kepala Siuncal,apify_google_maps,0.8,name_accepted_keyword,Nama mengandung keyword wisata 'pulau'
apify_google_maps_ChIJv0xsHfa1QC4R7KZdvVajEz4,Taman Agro Wisata Sri Rejeki,apify_google_maps,0.8,name_accepted_keyword,Nama mengandung keyword wisata 'wisata'
apify_google_maps_ChIJ8Z3LAgzRQC4Rjdc83gD9CXc,Pos 1 Wisata Air Terjun Gunung Betung,apify_google_maps,0.8,name_accepted_keyword,Nama mengandung keyword wisata 'wisata'
apify_google_maps_ChIJnUTn7YvYQC4RsjyL8o8AP24,Pulau Tangkil,apify_google_maps,0.8,name_accepted_keyword,Nama mengandung keyword wisata 'pulau'
apify_google_maps_ChIJ_To08Le3QC4RT9kHxCrAgC4,Agro Wisata Kebon Jeruk Abang Farel,apify_google_maps,0.8,name_accepted_keyword,Nama mengandung keyword wisata 'wisata'
apify_google_maps_ChIJGdXpYIgrQS4RDfxax619arI,Air terjun batu ampar,apify_google_maps,0.8,name_accepted_keyword,Nama mengandung keyword wisata 'air terjun'
apify_google_maps_ChIJ6cPeWgDVRi4RSikXrUVzOtI,Parkir Air Terjun Ciupang,apify_google_maps,0.8,name_accepted_keyword,Nama mengandung keyword wisata 'air terjun'
apify_google_maps_ChIJh6h5AwArQS4RRJKay8r0jEk,Loket Air Terjun Sinar Tiga,apify_google_maps,0.8,name_accepted_keyword,Nama mengandung keyword wisata 'air terjun'
apify_google_maps_ChIJ6WSpfxQtRy4RAki0loDfjq4,Wisata Puncak Pengayoman,apify_google_maps,0.8,name_accepted_keyword,Nama mengandung keyword wisata 'wisata'
apify_google_maps_ChIJOR_ZyNkrRy4R-w1y2OvRrbU,Wisata Buku,apify_google_maps,0.8,name_accepted_keyword,Nama mengandung keyword wisata 'wisata'
apify_google_maps_ChIJW-lHN4PTQC4R42Y1_MmXU6g,Taman Sidototo,apify_google_maps,0.8,name_accepted_keyword,Nama mengandung keyword wisata 'taman'
apify_google_maps_ChIJw3z8eQA9Ry4RxRF81Xt-BUc,Wisata mata air,apify_google_maps,0.8,name_accepted_keyword,Nama mengandung keyword wisata 'wisata'
apify_google_maps_ChIJy7nrF4YjRy4RY6zDmDen1a8,Puncak Gunung Tanggamus,apify_google_maps,0.8,name_accepted_keyword,Nama mengandung keyword wisata 'gunung'
apify_google_maps_ChIJg865Qe8jRy4ReSwfalfvNpk,Taman Wisata Bukit Singkek,apify_google_maps,0.8,name_accepted_keyword,Nama mengandung keyword wisata 'wisata'
apify_google_maps_ChIJjXslS4AjRy4RwberO_wp7d8,Bukit Singkek,apify_google_maps,0.8,name_accepted_keyword,Nama mengandung keyword wisata 'bukit'
apify_google_maps_ChIJ21ma-aAjRy4Rl5yge35uOqA,Basecamp Pokdarwis Gunung Tanggamus,apify_google_maps,0.8,name_accepted_keyword,Nama mengandung keyword wisata 'gunung'
apify_google_maps_ChIJhZg-AWA9Ry4RAY6F4o4-WP0,SITUS MEGALITIKUM BATU GAJAH DAN BATU KERBAU,apify_google_maps,0.8,name_accepted_keyword,Nama mengandung keyword wisata 'situs'
apify_google_maps_ChIJHww-kTLNRi4RL-8WQq42FxI,Pantai Kelumbayan,apify_google_maps,0.8,name_accepted_keyword,Nama mengandung keyword wisata 'pantai'
apify_google_maps_ChIJHe-HT2vGRi4Rbqj6DBM2U84,Pulau Tabuhan,apify_google_maps,0.8,name_accepted_keyword,Nama mengandung keyword wisata 'pulau'
apify_google_maps_ChIJ3wN8HQAZRy4RROqENqlX7Ic,Gunung Tembawe,apify_google_maps,0.8,name_accepted_keyword,Nama mengandung keyword wisata 'gunung'
apify_google_maps_ChIJ8SR7ex0fRy4RmGSHG35Kjys,Air terjun lamuran,apify_google_maps,0.8,name_accepted_keyword,Nama mengandung keyword wisata 'air terjun'
apify_google_maps_ChIJL1fEckYtQS4R9DBeLcSR_ss,Gunung Batu,apify_google_maps,0.8,name_accepted_keyword,Nama mengandung keyword wisata 'gunung'
apify_google_maps_ChIJL0mLLrAZRy4Row9drMNsiiM,Air Terjun Tepusan Baru,apify_google_maps,0.8,name_accepted_keyword,Nama mengandung keyword wisata 'air terjun'
apify_google_maps_ChIJs6tQUSMRRy4RT1ZYfl_U6xE,Pintu 2 Wisata Air Terjun Lembah Pelangi,apify_google_maps,0.8,name_accepted_keyword,Nama mengandung keyword wisata 'wisata'
apify_google_maps_ChIJ0eEyoQ4fRy4RttHCAllneRQ,Balai Besar Taman Nasional Bukit Barisan Selatan,apify_google_maps,0.8,name_accepted_keyword,Nama mengandung keyword wisata 'bukit'
apify_google_maps_ChIJCYe_JjofRy4Rz0MRkYCp3rk,Taman Kehati Galih Batin,apify_google_maps,0.8,name_accepted_keyword,Nama mengandung keyword wisata 'taman'
apify_google_maps_ChIJaw88SQDDRi4RDrcHttJT36k,Wisata pemancingan,apify_google_maps,0.8,name_accepted_keyword,Nama mengandung keyword wisata 'wisata'
